,0
131,"I am a great fan of the first John Wick movie. A movie still grounded in reality where the protagonist gets knocked out by a baseball bat to the head and when he finds his car stolen and dog killed, he is out for justice.He seems smart, capable, still a bit vulnerable and you feel the stakes he is fighting for and it's a bit like Taken on some strong Steroids.----------------------------This movie is nothing like that, besides al the awesome action (since awesome action it absolutely is). We are now in the MCU!In this movie John Wick falls 222 stairs down and 30 seconds later he is up and running. He's being thrown 10 meters down and also here after 30 seconds he is up and running again. Even Deadpool might be thinking twice before he meets John Wick!He also has to battle Dare Devil, but who decides to battle with swords and guns, but for some reason is not called Dare Devil. He knows exactly where the enemies are and what they are doing when the plots needs him to at other times he has to put in a bit more effort.Also interesting how John Wick wastes a lot of bullets on 3 guys on horses in the desert running in a straight like, while in Paris he precisely headshots people in the middle of the air who are doing saltos after hit by cars. John Wick loves to play with your expectations in how capable you think him to be. One moment he kills 50 people in a minute, the next he has a hard time fighting the gold tooth german King Pin, even though he already hurt him in many ways(even shooting him up the @$$).Also fun to see Morphius again, starting with a grandiose opening, firing things up (for no reason) and we expect a lot from him, since he wanted revenge of how he lost it all. To only show up close to the ending.Also the psychotic party goers in Heaven and Hell in Germany is interesting to see. You see them sometimes looking at all the people being killed around them by guns, swords and axes that are flying around, to then just continue dancing again. Only after the boss has been killed, everyone is suddenly aware that they need to get out of there.So if you just turn of your brain and look at the spectacle, you are in for a treat. Also the cinematography and music is really nice."
132,"There is art in everything and in JW4 it's the ballet of violence. From the get go, the movie unleashes artfully choreographed violence that involves weapons, martial arts and just pure raw hand to hand combat.Ideologically, I am against violence but I saw this as art, a form of expression and when I saw it like that, it just felt like I was watching a dance performance. It just happens to be violence in this case. Keanu reeves is excellent, a little older but smooth and has given a 100% to every scene.The movie runs quickly without wasting too much time on building narrative, most of it is simple, clear and precise. Is it realistic? NO, but you did come to watch JW4 so just enjoy the ride."
133,"To many poor decisions. John Wick the indestructible man versus daredevil.... No sense of peril, no consequences.... Everyone has bullet proof suits, but not one of the countless disposable useless henchmen thinks to maybe aim for the head?? I get it's a movie and get John Wick is a man of focus..... But walks away from getting hit by so many cars I lost count, literally falling out of buildings... But then dies from a mere stomach wound....... Loved the first two, was just about ok with the third, but this one was too far for me to stretch I am afraid. Just cant understand all the rave reviews..."
134,"I wanted to like this movie so badly. The first three were great, albeit gradually declining in quality throughout the series. I was excited and hopeful for the fourth installment but couldn't have been let down more. The action was boring by mid film and there was still another hour and a half to go at that point. This movie is ten minutes shy of three hours long. The fight scenes go on way longer than they need to, moves are repeated over and over and the plot armor of JW becomes laughable. If you like the film because John is a regular guy with crazy skills, you'll hate this. If you see him as some kind of superhero then you'll probably enjoy it. The guy legit falls out of 5 story buildings onto stone roadways and just rolls over and gets up. It felt insulting to my intelligence."
135,"A bullet ballet with lots of overly long action scenes full of complex fight choreography. It looks and plays out just like a videogame - the protagonist defeats an overwhelming number of enemies, shrugs off damage like it is nothing and bystanders either don't exist or act oblivious to the ensuing violence. The setting always required a suspension of belief and realism, but this one with its bullet proof suits and vehicle fight scene was ridiculous. The settings are opulently stylish, the characters are outlandish and the plot is refreshingly simple, but it all felt a bit too silly this time around. Some sequences were entertaining, the support cast and their fluid alliances was good, the ending was rather fitting and although a long film, it didn't feel it."
136,"In a word, terrible. No plot, no two scenes flowed, new characters had little to offer, Mr Nobody offered nothing to the plot and was a pointless character, Reeves was as wooden as a tree, action scenes seemed to last for 30 minutes each, Skarsgard with a Swedish accent for a French character, the list goes on. Apparently, the plot is that the 'High Table come for John', but it felt like the plot was just for John Wick to rack up a higher kill count than Topper Harley (which is 389 by the way).Then there's the injury continuity:-
Bad guy gets hit by a car-dead
John Wick gets hit by a car-nothing
Bad guy falls off the edge-dead
John Wick falls from a 3 story building onto the roof of a van-nothing.3 hours of my life that I won't get back. Don't even bother with the DVD/release on Sky, just avoid it."
137,"This movie is going to be like Die Hard in how a lot of action movies from here on will copy it in some way. The acting in this is so good, but wow oh wow big shout out to the stunt team. There were times I lost my breath. I had my eyes on the screen and didn't blink. At times I felt like I was on a roller-coaster or the adrenaline you get playing basketball. I hope they make more because they're so much fun, but if it is the last that's a helluva way to go. Hands down the best action movie I've ever seen. People bouncing off cars, flying through the air I mean it's AWESOMEEEEEEE!I felt like how I felt after a close game when I played football in high school when I left the theater."
138,"Seriously loved this one and already looking forward to watching it again. The action scenes were brilliant, and I won't spoil it but there was one scene that took my breath away with the way it was filmed. Kudos to the director, actors, stuntman and all involved in this movie. It lived up to the franchise and is my second favorite after the original.The plot was simple, and the foreshadowing a bit heavy, but all around an awesome action movie and so fun to watch. This movie kept me on the edge of my seat waiting for the next action sequence, the nearly 3 hours passed by much faster than I was expecting. Really great movie and a must see!"
139,"After a drop off in story quality a bit with parts 2 and 3, John Wick is doing what he does best - building up a huge body count.A totally coherent plot is not necessary for these. However it is nice to see a modicum of effort involved. Our story here will not win any awards, but it's just a series of flimsy excuses to have endless fight scenes play out. Lots of ammunition is expended, lots of people are kicked, thrown around and punched. And if you enjoy seeing people meeting an unfortunate encounter with a vehicle (moving or stationary), you will not be disappointed.All the John Wick films have a 1990's era Homg Kong action movie vibe. Other than maybe the first, this one captures that feel the best of the bunch."
140,"The wait was worth it. John Wick 4 is the best of all John Wick. It has outstanding &mind blowing action scenes. Some of them you have already seen like the way John Kills with pistols but the car sequence & The fire Gun killing scenes will 100% blow your mind & the different camera angle makes it more unique! The movie is 3 hours long but Don't worry you are not gonna regret it... donnie yan the master has done amazing job, simply outstanding with his sword!! At some points you gotta feel for John. If you are a true john wick fan you'll understand the pain he's going through the whole movie.... the scene i liked the most in which john's driving car & killing bunch of peoples at the same timing, i bet you'll love it too!!!"
141,"This is hard to write. I'm a huge Keanu fan as well as the Wick character. However, this 4th installment left me wanting and at times checking the clock during the show. You have probably already read that the action and fighting is good. It is, but it's not new or innovative. Assuming you've seen the first 3? There's guns, hand to hand, cool use of the environment, lots of bullet proof clothing and ineffective hits, a dog and some of the other Wick tropes. I guess I was expecting another new style or sweet scenario. I enjoyed the movie, but was expecting a Wick experience and instead got a, 'quest for more money' type of vibe where the scenes and situations seemed repetitive. I suggest seeing the flick, just temper your expectations and hope they don't unequivocally jump the shark on a 5th. Wick is great, but it's not a franchise to simply repeat and this installment feels like the beginning of that."
142,"Keanu Reeves is my idol & he was made for this movie , bow down to the best action movie I have ever watched , the best
from beginning till end my mind just blown away , cinematography with pure gangster music is something else to witness it.Best John wick movie ,
Pure action
Pure acting
Pure badass character
Pure heart from inside but can burn anyone whoever steps forward to hurt his one's ,
In the end I just want to say that thank you Keanu for delivering such badasss movie , now times Hollywood cinema downgraded a little bit but actor like you & Tom cruise bring back the Hollywood to its pure class ,"
143,".......except the plot is even more predictable. 80% of the same O gun fight scenes. How many times can you do the same thing, so boring and repetitive? I get it, all gun and no plot is its genre but at least hire some decent writers. Barely any new action or gun scenes. The producers are just milking this cash cow dry to the bone. This movie was 1hr toooooo long also. The only good thing was the music had good bass and fit the scenes and only if you watched in Dolby with the vibration seats........except the plot is even more predictable. 80% of the same O gun fight scenes. How many times can you do the same thing, so boring and repetitive? I get it, all gun and no plot is its genre but at least hire some decent writers. Barely any new action or gun scenes. The producers are just milking this cash cow dry to the bone. This movie was 1hr toooooo long also. The only good thing was the music had good bass and fit the scenes and only if you watched in Dolby with the vibration seats."
144,"If you love previous John Wicks and have seen the reviews of this one and are excited to see this be prepared to be very dissapointed, this is not only the worst John Wick movie but this is one of the worst movies I've seen in my entire life, this movie had no storyline but it was filled just with fightin scenes that were absudly long and exagerated more than in a superhero movie ( batman, superman ). Characters were like if they were written by a 10 year old and werent interesting at all, scenes were made Ok and cinematography was on point, storyline was the worst, movies was so long so slow and you would know how it ended before even a scene began. I dont know how this movies got this high rating 8.8/10, I wont trust these ratings anymore."
145,"You already know how it is. Four movies, roughly 10 hours of watching people die and somehow it all lead up to this. Incredible world building, compounded by brilliant choreography, acting and script writing.Every scene looks hyper real. Every gun shot, every punch, it's an art form. John Wick 4 neatly wraps up and incredible journey I didn't expect to go on. But I'm greatful I did.It's the Die Hard of my generation and it's learned and matured so well. It's a visual spectical and I could watch it again and again. For me its a great start to cinema in 2023. It's got me excited for the next films I intend to see (Openheiner and MI).Go see this movie and don't make the mistake I did, stay for the final scene after the credits!"
146,"First one was good, 2nd was better and really good. Third was the best, so I thought, it's going the right direction.. I couldn't be more wrong.. First of all, what made the previous movies so great and especially the third one, was the details in the action scenes were so accurate.. All of the sudden in the beginning of the hotel in Japan, John wick kept shooting without reload, until he was alone there doing the shooting..? At the end as well.. 21 bullets in his gun. It seemed more.. Also again in so many movies lately, why exagérating so much and making scenes so long, especially during some dialogues.. You know what they're gonna say or what's coming.. And when he fell down the stairs at the end. That was so over the top and unnecessary and so unrealistic.. He had 8 minutes to climb those 222 steps or so, whilst kicking everybody's ass. 3 minutes to go and down he goes all the way to the bottom and start over, crawl back up, little dialogue with Donnie y'en and make it both in time..?? The director said he had to make movie this long to tell the story. That's not true at all. Story wise, it had no positive effect. He just put in more and longer action scenes.. Total let down when you compare it the previous movies. And very predictable also at some times.. This movie wasnt worth waiting so long and definetly not my money.."
147,"Now thats how you make the final chapter. Paced perfectly, shot stunningly and acted beautifully! Builds up on the strengths of John Wick 1 and John Wick 2 and fixes the flaws of John Wick 3. I really hope they keep this as the end of the franchise because the conclusion is just flawless where chapter 4 ties up everything together giving due justice to all its characters. Kudos to the director for coming up with this gem of a movie and the stunt crew for the out of this world stunt scenes and thank you Keanu Reeves for being Keanu Reeves. You have taken gun fighting and close combat action genre to another level!!"
148,"For years during action movies I've just wanted more action i.e. The transformers franchise and many others. John Wick 4 takes action movies to a whole new level. This movie is 3/4 action and its some of the best fighting and visuals I've ever witnessed in any movie. While a lot of it will have you saying to yourself, ""there's no way he survives this"", you quickly will remember that's part of the lore of the John Wick movies and you don't care anymore. Very solid movie and a hell of a way to end the franchise if they so choose (Hope they don't). My only dislike is the main enemy of this movie didn't get the violent and punishing death that he deserved, however it was satisfying when he did eat that bullet."
149,"Let me start this off saying that I am a huge fan of this franchise. The first two movies are some of my favorite of all time. The third disappointed me story wise, but the action was incredible. This movie for me was the worst of the 4.This movie is long yes, but that's not my main problem with the film. Obviously you need to suspend disbelief in these movies but the blind character was a step too far. I do not understand how this guy is shooting people, dodging bullets and not getting shot himself. The movie is also poorly acted, the worst in the franchise in my opinion.I did not love the story either, the plot line with poker and the man who killed his uncle was insanely weird and poorly done. This world that we have experienced in the last movies has changed so dramatically. Overall heavily disappointed but there was some great action scenes. Also SPOILER:::John wicks death was well done. A little abrupt but it was time."
150,"The way part 3 left off, fans knew more was coming, and the waited chapter 4 does not disappoint, John Wick (Keanu Reeves) is still trying to end him from being hunted and in hopes to finally find peace, by going to the highest power, but getting there won't be easy.Man the action almost never stopes, pretty much there is little time to breath, but that has always been the joy of this series. Keanu Reeves is always at his best here. But everybody here does shine in there own way, even two characters I believe that derserve there own spin off, you'll know them when you see them. I don't want to tell you anymore, but I'll say 4th time is the charm."
151,"Go to the bathroom before the movie because if you leave during you ""will"" miss something for sure.. Its John Wick on Steroids!!! And when you think you know what's happening next(other than another few hundred deaths) it takes a turn, again and again. Lots of stories inside the main story. Keanu is well great. And all the characters are there along with the whole host of new characters that spice up the stories, inside the story. There are some chuckles when you need them the most so you can exhale and take a fresh breath scattered throughout the film. Oh yea stay until the end of the credits!! Enjoy."
152,"My ""John Wick: Chapter 4"" SPOILER Review:PROS:-This is PEAK Keanu. He was born for this role!-The Osaka Sequence is God-Tier!-Donnie Yen is the definition of cool!-The Birdseye view sequence covering an entire floor of a building during a shoot out!-The Flight of Stairs Sequence!-The Cinematography is amazing! All the colors pop!-The Pacing and Editing. Doesn't feel it's run time at all!-The Duel Sequence!-The Ending. Unexpected and Perfect!CONS:-It had to end.This is the Apex Mountain of Modern Day Action Movies. These films have been an unexpected surprise and the people behind it have gone above and beyond, perfecting their craft along the way, to entertain the audience! In a world dominated by CGI Blockbusters, the John Wick films have been a breath of fresh air, relying on beautifully crafted stunt choreography, fantastic direction, and actors that came to play and who knew exactly what kind of films they were making. Chapter 4 took everything from the first 3 films and amplified it. I don't wanna spoiler anything here, as this deserves to be experienced first hand. Keanu Reeves was born to play this character and this is his best outing as the character yet! I can't say enough positive things about this film. Pure Action Escapism. 9/10."
153,"One of the most tedious, overly long drawn out self aggrandising pieces of drivel I have ever had the misfortune to sit through.Constant repetition during fight scenes that add nothing the whole film could've been just over an hour long and would've been much better because of it.I really really loved the first three films that this is the chapter four that they thought we wanted is unreal.And such miss use of Lance Reddick in one of his last ever roles.The only good thing to come out of this film is, I don't think there be any more of them.They should have called it, John Wick and the Kingdom of the Crystal Skull."
154,"I'm gonna have to rewatch this one another day. But I found myself beginning to doze off repeatedly like an hour 1/2 into the movie. I can't quite put my finger on it. The villain was definitely boring, the story line and dialogues seemed a bit stretched out. The fight scenes and overall feel of them didn't quite do it for me like the first 3 movies did. I think there's gonna be mixed reviews on this one. I felt there were several plot holes. And I'm in limbo about how I feel about the ending. It seemed fitting but then also didn't...? Lol. Idk man I just think some lazy writing went into play on this one."
155,"This is easily the best John Wick out of all of them and one of the best action movies of the decade so far. When I saw this movie, the theater was packed and it deserved to be. There were young people, old people, men, women, white, black, all kinds of people there who loved this movie and got a thrill out of it! The John Wick franchise and Keanu Reeves literally bring people together and action like this is what we need in our movies, real stunts on camera with real effort and without needless CGI! Donnie Yen killed it in his role and there are fantastic sequences that blew me away (the stairs scene, the Paris traffic scene around the Arc De Triomphe, and the ending duel specifically). The wet night club fight and the fancy Japanese hotel scene were astounding as well, and throw in the humor and the dog as the two cherries on top. Take notes Hollywood! And huge shoutout to Keanu Reeves for doing stunts and work like this at his age still, he's just as impressive as Tom Cruise!"
156,"Just saw 4th installment of much talked and long time waited with eager and high expectations but I disappointed while watching. Last action scene is not impressive seems only for repeated for John Wick. Final climax is interested and watchable.Acting Kanu Reaves is looking aged and tired. Donnie Yen, Laurence Fishburn, Issac Mc, Riddick interesting. Surprise is Scott Adkins. He is looking very different apart from his macho image. High table and it's rules are not new we already seen previously. Here only locations different and authorised persons changed.Overall movie is watchable once.It is my first movie after two and half years due to my illness."
157,"Such a bad movie. 3 hour long fight where John has put on ""godmode"". Absolutely 0 story, besides just fighting. The whole theatre bursted out laughing because of the ridiculous fightscenes. I am left so angry and annoyed. Don't you ever go watch this pile of poop if you like anything that is the slightest realistic. More unrealistic than Marvel movies. It has absoluty nothing to offer. A blind guy who can fight, shoot and play cards? What is this? Maybe 12-13 year old kids would find this movie cool. This is as stupid as it gets. John Wick says nothing in the movie. It is absolutely pointless and meaningless."
158,"In the whole John Wick movie series, this is the best in action I would say . The direction, stunts performed by Keanu Reeves is just mind blowing. Overall an action packed movie . And the perfect climax in a traditional way . Everything was just perfect. There are a lot of action movies out there but the what the action sequences in this movie are just impeccable . The collaboration of so many good actors make the movie even better. Donnie yen did a really good job playing a character of a blind contract killer . I have no regrets watching this movie on first day first show . Lastly I would say MUST WATCH!Baba yaga has its own way to make you satisfied with his action ."
159,"This is (in my opinion) the best John Wick movie in the franchise. The way they go about telling the continuation of this ""Ghost looking for his graveyard"" is phenomenal. The new characters are all extremely exciting to watch and lovable. The choreography of the action sequences is fantastic and you can easily tell how much work was put into them. The camera shots (especially one in particular) were absolutely genius and beyond what I could have expected. This movie is fantastic. Everything about it is a fantastic way to end the story of John Wick. The ending. Wow. Although sad of course, it is a happy ending. It is all we could have asked for as fans of these movies.This movie is a must see and is (IMO) the best John Wick movie they have made."
160,"Alright, so I saw John Wick 4 last night, and I feel like it's my obligation to issue a fair warning... it is not as good/perfect as the ""ratings"" want you to believe. Read the negative reviews, they have merit.Before going to see Chapter 4, I rewatched the first 3 and was totally swept off my feet, again! The 4th is a redundant, emotionless, farcical disappointment that fails to advance the story, yet alone resolve it. SO MUCH POTENTIAL after the 3rd one to witness John recover, exact revenge on his betrayers, and peel back the curtain of the high table: doesn't happen. Weak-weak-weak storyline with plot contrivances galore.There is only one action scene that stood out that is maybe the most memorable of the series... and one driving scene with some of the sickest tracking shots I've ever seen... but just be prepared to watch hours of nonsense for those 15 min of magic. But was there cool fighting throughout? Yes, but it falls flat because it is so absurdly unrealistic and tedious without any grounding sense of purpose. Not trying to deter you from seeing it. Just advising you to lower your expectations so that maybe you can enjoy it for what it is."
161,"Exactly same as the other 3 films, We expected the story to evolve and progress more, but it was just like the others, man to man. Of course, the scenes were very good filmed, very amusing and exciting, watching it in cinema was not a waste of time, but after some time, I felt we are watching same thing as happening in other movies, I don\t want to get into more details, so I don't spoil the movie. The movie definitely worth watching. Maybe I had something in mind about the way the event could evolve, but this is my personal view, my son liked it, it was good father - son time in the cinema. ."
162,"John Wick 4 is a thrilling and satisfying conclusion to the saga of the legendary assassin. Keanu Reeves delivers another stellar performance as the unstoppable John Wick, who faces his most formidable foes yet in his quest for vengeance and freedom. The action sequences are breathtaking and inventive, showcasing the skills and charisma of Reeves and his co-stars, especially Donnie Yen as Caine, a blind former colleague of Wick who becomes his ally. The film also expands the mythology of the John Wick universe, introducing new characters and locations that add depth and intrigue to the story. The cinematography, music, and editing are all top-notch, creating a stylish and immersive experience for the viewers. John Wick 4 is a must-see for fans of the franchise and action lovers alike. It is a rare example of a sequel that surpasses its predecessors in every aspect. I give it 5 stars out of 5."
163,"Best John Wick Movie so far. More actions in the movie. More interesting story. And mostly the last battle that's like the cowboy movie. 1v1. Men to men. So many places to get highlighted. And for god sake John Wick is frkin immortal. Enemy keep missing shots after shots. And there is Donnue Yen. One of my favorite actor. The battle music is very great. And mostly I like the part when the camera rotates like a FPS Tournament. They give you some rotating sort of effect and a top camera view. Totally like FPS tourney'and yes John Wick still love dogs. Best 2023 movie so far. But sadly it showed that Wick is dead. But hey, gotta be another movie because, Wick once faked his death (kind of). So looking forward to next part of this movie (If it's really another part)."
164,"ALL reality must be suspended for this totally unbelievable film. Can't believe I wasted and of my precious time on this trash. The fight scenes were well choreographed, however that's all the film is, just one fight after another with Reeves surviving clearly unsurvivable situations, to the point where the audience was just laughing. If it is meant to be a comedy, then it isn't that funny, it this is not a film that you can take seriously either!!Won't be watching any more Wicks films, that's for sure. Highly disappointing trip to the cinema, which in any event is rare these days, as so many films are below par."
165,This is one of the best action movies of all time hands down no competition. This installment blows all of the other movies out of the water with the action scenes and it mixes it perfectly with story telling. I would love to see them take this series forward but if this movie were to be the end of the franchise i would be content. This film has made me want to rewatch all of the other films to really get the full experience of the story as they pick up where each one left off. This movie is a must watch masterpiece of a film; john wick if he returns out of the shadows again I will certainly give that one a watch too.
166,"I was starting to get a bit tired from this franchise, despite me loving the third movie, on some rewatches, it felt like the only thing happening were action sequences, and they were still very impressive and memorable, its just that 2 and a half hours of that gets tiring at some point and I was a little afraid the same thing was going to happen here and on some degree it does, the action sequences are still very impressive and epic. But sometimes they last a little more than what they should, but this movie has much more story than its predecessors, now John Wick has more of an objective than just kill whoever tries to kill him, here, he really has a chance to be free again and with the help of other characters who also have better motivations in this one, he plans on getting it. Obviously the best thing of this movie are the fighting scenes, combined with their awesome cinematography, music and choreographys it makes for a great experience. I already talked about some some of them lasting a bit too much but that doesnt affect the film as much as it could have. And in this one, we have a more clear villain, who you hate from the first scene from which he appears, he is bad. Elegant and menacing, he is awesome. The side characters and new ones introduced are also very interesting and entertaining to watch, mainly Cain, who I hope gets a spin off or something. And all the movie is like this, the best quality of action a movie can have but stopping at the right times so it doesnt get tiring enough. And finally I want to say that the finale was the best it could have been for this saga, the tension depsite not being a fight is the greatest Ive ever felt watching these movies, you are genuinly terrified from whats about to happen, and you dont want to watch the outcome but you have to because its where everything gets defined. It is definitely, the WORTHY ENDING John Wick deserved."
167,"Okay this movie is INSANE. Insane cinematography. Insane lighting. Insane sound-design. And most of all, insane action -the good ol' gun fights, hand-to-hand combats, sword-fights, everything short of tanks and fighter planes. This is everything the previous movies were, but the duration is 2x. That said, you'll still have to give it all the cinematic liberties to enjoy it thoroughly.Keanu Reeves did exactly what you've seen him do before, nothing new, but twice as much. Special mention to Donnie Yen for the role that he was given. Rina Sawayama, Hiroyuki Sanada, Bill Skarsgård, Scott Adkins, were GOOD additions.There may come a point where, if you're not a John Wick fan but a regular film lover, you MAY feel ""Okay, dude. Stop fighting and move on to the next thing."" But if you're a fan and enjoyed the previous ones, you'll have a ball with this movie."
168,"This movie is GREAT, the action the cinematography the music the feel..the swag of john... Everytime looks phenomenal.. I'm from India and I watch this movie first day first show.. and I must say.. it's better then any action movie I EVER watched before..a must watch movie... If you are Indian then go and grab some popcorn 🍿 and enjoy the ride of full of action & pure greatness.. #johnwick4. Note: If you never seen any john wick movies before then first watch all the movies on OTT then go for this f*king great movie.. and if you like it then go celebrate the thirll you feel while watching this blockbuster movie 🍿"
169,"Beautiful cinematic experience, intense action sequences and great characters that made the movie memorable. John Wick concludes it's chapter by seeing how pissed off John is. The only way to freedom is a old traditional duel. However John must get past a thousand men army and fight his way to freedom in time or he will be executed. John is amazing, Donnie Yen, Tracker, and Marquis are great enemies of John Wick. All are motivated by their own personal interests.The movie was 2 hours and 49 minutes. I was so intrigued with the movie I had no idea how much time passed. It had the right elements and I was intrigued by every scene. Thank you for making this series a great experience! It was fun."
170,"Best movie in the franchise imo, it's an action movie but it seems more than that, the atmosphere makes it look like a piece of art, beautiful photography. Amazing stunts done by Keanu Reeves that I consider one of the best action actors, Bill Skarsgård is good but there is something in there that makes me feel weird, good characters. Amazing sequences of action with some sequence shots that are absolutely fabulous. Good story, well developed. Some bad dialogues, some towards the end when it tries to be very epic and dramatic, it is but more when it does not try to be. Good ending to John Wick."
171,"Seriously?!?! 4 years for this? That was pitiful!I don't understand the 10/10 or the 9/10 or really anything past a 6. Perhaps my hopes were far to high from watching the other 3 but wow I was let down and in so, so many ways. My dissatisfaction is absolutely raging. Where was the blood thirst?! Where was the rage?! Where was THE John Wick?!Now, we talk about the ending.What happened John? The other guy had the same wounds as you did and you died, or did you ""die""? Either way coming out of that movie theater I felt like something was missing and I've come to the conclusion that a lot is missing. Now I'm sad and filled with frustration and not just at the outcome of the movie, but how long I waited for the movie."
172,"This movie is phenomenal. Keanu's best acting in my personal opinion. So much words of wisdom said and yet so much actions done at the same time. It's a realistic movie, not just your typical action film. John Wick is a man of reason. There are a few comedic banters in the film that just make it so much better. I'm usually the type to not finish a movie in one sitting. I easily get carried away or bored, but this masterpiece right here kept me entertained for three hours straight. I was laughing, I was scared, I was weeping, and I was serious. So many emotions for one great film. I rarely give 10 star reviews but this one deserves it most. You know it's a 10/10 if you're willing to watch it over and over and over again, and still love it every single time. Amazing film! Highly recommend watching! Great end to the series! Also Bill Skarsgard is incredible in this film, do watch it, no regrets at all I swear."
173,"Who doesn't like a good revenge movie?JW1 was fantastic
JW2 equally
JW3 left you hanging but
JW4.......
Problem here started with the very first 'battle' scene. Went for ages - Usually a good thing however each engagement was the same as before, hence 'Rinse and Repeat'.Don't start me on the 'Roundabout scene'.Good escapism but so repetitive that an almost full Cinema were left with nothing to say at the end.On a plus, the cinematography was ingenious in parts and a recurring reference to an Australian Bushranger was clever.Watch it because you watched the other 3, but don't expect Prose...
It would be interesting to know Keanu's word count!"
174,"The cinematography was some of the best I've seen in any movie holding up to films like blade runner and interstellar. The choreography is even better than the previous 3 films. The acting is even superb despite the other films lacking in that category, I was actually emotionally invested in this story more than I usually am during a movie and I walked away dumbfounded by it's surprising excellence. I would not have expected an action movie from a series known for being over the top and goofy to be such an incredibly well done movie, but it was. That being said, the film still manages to be quite funny and whimsical at times and is still over the top like John wick should be."
175,"I really can't understand how many people thinks its the best ever.Its not. It was great until arrive to Arc de Triumphe, after this all scenes were way exagerated, he is not a robot, we could never take what he did, while others keep falling of very light hits.The fall on top of the car and all the stairs scene, competely ridiculous.In previous movies he killed with two shot (chest and head), now lots of times, in guys without armor, lots of shots completely unecessary.The blind guy completely ridiculous, its not a Marvel movie with guys with super powers.As an additional stpe, no way the Table would allow to any of the duel fighters to be touched before getting there, otherwise also John could kill that very poor marquis. No sense at all.Its a pitty, nice fighting scenes.And the end, COME ON!!!Baba Yaga never dies, it disapperas into the mist, until he's needed again.By far the worst."
176,"I walked out of theater for a film with so many hype and so many fake fans they know john wick if your happy with the ending fine with him dying your not a real fan unless you thinke he survived.John Wick the man the myth the legend dies from a gunshot wound exactly where the doctor in 3rd got shot. Rambo got shot in the same shoulder he surivived the doctor survived. Not John Wick hereis the thing about action movie hero they are not supposed to die they are supposed to live. John Wick he died for nothing he dident take down the hightable his friend Donnie Yen probaly going to kill the friend he sacraficed his life for. Johns life is for nothing who did he save the trailers made us think he will take down the high table we could have had endgame moment where thousands of assasins fighting armys of high table forces. They killed of Charon which is bad because his death was for nothing. End of the day we havent even seen who is the true head of the High Table we got another villian like the ajudicator whose roles mean nothing. Not just the terrible ending the action is rushed. One and two the action was more slower and more focused. They are doing these fast shots if they making a pg 13 movie. Donnie Yen is not utilaized he is know for hand to hand not a gun and knife. 5 was supposed to be filmed at the same time as 4 canceled that plan because of covid are you telling me John true bad guy is covid 19. The thing I am worried about is that they will replace Joh n Wick with Ana De Armas or the new girl Akira if thats the case why is everything killing of male charachters with female nobody wants a MSHEU. This can be fixed bring Keanu Reeves back I will give this a 6 out of 10 do not come with the excuses he is old Tom Cruise is older and he going to keep doing stunts until he dies. This is not how a man , myth the legend is suppoded to die he is Baba Yaga not some cry baby who died after a shot to the shoulder. Watch this at home if your desperate to see it."
177,"This was my most anticipated movie of 2023, & John Wick: Chapter 4 (2023) both lived up & exceed all of my expectations. John Wick: Chapter 4 (2023) is not only the best movie of 2023, not only is it the best movie of the John Wick Franchise, but it is one of the greatest Action Movies of all time & is possibly the greatest movie that Keanu Reeves has ever done in his career.The action & violence is outstandingly phenomenal! There are so many phenomenal standout action scenes, that I can't name all of them. One of my favorite scenes is where they are paying homage to Cowboy Bebop.So if I didn't sell you enough with those statements, John Wick; Chapter 4 (2023) is a masterpiece of the action genre. It is the best movie of 2023 & I believe that no movie will even come close to besting it for the rest of the year!"
178,"Feels like a high production fan fiction, or perhaps someone from the High Table (if you know what I mean) sampled the social media and compiled fan's favorite bits into this mishmash of a movie.Very little rhyme or reason to it... All plot lines feel calculated and unnatural, as if it was directed by a spreadsheet (or an AI perhaps?) and not a real person.And the ending... Good grief! I can almost hear the boardroom discussing how to make this movie end in such a way that it will provoke strong social media reactions, possibly igniting sequels and spinoffs. And while at it, likely boost DVD sales due to included alternative endings....But hey, at least color grading was spectacular!"
179,"This movie ll go down in history as one of the best action movies. The Immortal Baba yaga is back to get his freedom back and ready to kill anybody coming his way. With the addition of new characters, there is no way this franchise is going to end with this film. This movie has raised the bar in all technical aspects whether it's sound design, cinematography, editing, production design. Overall, it's a must watch for action fans. Watch it in biggest screen possible with Dolby sound. The very first scene will make your heart thumping. Donnie yen excels in all the scenes he features. All characters played their part well. Just go and watch this once in lifetime experience."
